Source IP          Destination IP     Flow Size
100.114.151.36     98.128.149.239     175          
100.114.151.49     248.239.137.204    8            
100.114.151.74     213.154.98.135     31           
100.114.151.83     97.247.115.45      14           
100.114.151.83     97.247.121.252     21           
100.114.151.9      97.120.45.2        134          
100.114.151.92     220.83.150.167     13           
100.114.152.0      102.83.232.199     20           
100.114.152.0      192.67.229.252     18           
100.114.152.0      220.80.151.146     138          
100.114.152.182    111.147.186.164    5            
100.114.152.38     145.230.130.157    304          
100.114.152.81     239.70.99.224      160          
100.114.153.166    129.252.159.210    55           
100.114.153.166    221.116.97.146     24           
100.114.155.244    159.137.247.198    128          
100.114.156.193    138.16.127.93      14           
100.114.156.193    144.56.141.204     36           
100.114.156.92     111.147.205.204    3            
100.114.16.49      243.171.132.0      1            
100.114.19.4       243.171.132.2      1            
100.114.22.249     109.209.211.106    6            
100.114.24.11      6.26.236.129       1            
100.114.24.163     243.171.132.80     1            
100.114.24.27      97.247.121.100     19           
100.114.24.27      97.247.121.77      8            
100.114.26.107     221.116.131.214    1            
100.114.26.128     99.181.189.213     5            
100.114.27.157     243.171.134.229    1            
100.114.27.57      138.46.112.172     1            
100.114.27.59      145.119.180.20     1            
100.114.27.97      242.12.5.44        3            
100.114.28.110     243.171.132.0      1            
100.114.29.135     133.57.114.93      2            
100.114.29.135     248.239.143.237    1            
100.114.29.185     99.181.189.174     5            
100.114.29.185     99.181.189.213     16           
